Newcastle City Council Invoices over £250 paid in June 2015,,,,,,,,,,
,,,,,,,,,,
Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,02/06/2015, ORCHARD CARE HOME .COM (3)LTD,6598941,Revenue,1MG10,Nursing Care OP,2170.88,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,30/06/2015, ORCHARD CARE HOME .COM (3)LTD,6625228,Revenue,1MG10,Nursing Care OP,2170.88,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,01/06/2015, THOMPSONS OF PRUDHOE LTD,6586731,Revenue,1KVWC,Minor Works Contracts,585,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,12/06/2015, THOMPSONS OF PRUDHOE LTD,6586534,Revenue,1KVWC,Minor Works Contracts,947.2,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,12/06/2015, THOMPSONS OF PRUDHOE LTD,6586536,Revenue,1KVWC,Minor Works Contracts,912.4,
Environment & Regeneration,Highways                               ,Premises,09/06/2015, THOMPSONS OF PRUDHOE LTD,6596694,Revenue,1KEMC,Highways,1501.02,
Environment & Regeneration,Highways                               ,Premises,15/06/2015, THOMPSONS OF PRUDHOE LTD,6607156,Revenue,1KEMC,Highways,4257.92,
Environment & Regeneration,Highways                               ,Premises,01/06/2015, THOMPSONS OF PRUDHOE LTD,6596564,Revenue,1KEMC,Highways,764.64,
Environment & Regeneration,Highways                               ,Premises,12/06/2015, THOMPSONS OF PRUDHOE LTD,6552181,Revenue,1KEMC,Highways,2722.05,
Environment & Regeneration,Highways                               ,Premises,12/06/2015, THOMPSONS OF PRUDHOE LTD,6596816,Revenue,1KEMC,Highways,574.22,
Environment & Regeneration,NS: Admin & Finance        ,Premises,11/06/2015, THOMPSONS OF PRUDHOE LTD,6606983,Revenue,1DQ9W,S&M Throckley First School,2400,
Environment & Regeneration,NS: Waste Management       ,Supplies & Services,19/06/2015, THOMPSONS OF PRUDHOE LTD,6607816,Revenue,1KE23,Sandhills,292.5,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,02/06/2015,14 EIGHTH ROW,6598903,Revenue,1MH20,Residential Care PD,9800,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,30/06/2015,14 EIGHTH ROW,6625184,Revenue,1MH20,Residential Care PD,9800,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,02/06/2015,18 SEA VIEW VILLAS,6598826,Revenue,1MK34,Shared Lives - Adult LD,1540,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,30/06/2015,18 SEA VIEW VILLAS,6625120,Revenue,1MK34,Shared Lives - Adult LD,1540,
Adult and Culture,Library Admin              ,Capital Expenditure,42172,3M UNITED KINGDOM PLC,6612677,Capital,2EJ99,Budgeted Savings,7071.03,
Adult and Culture,Library Admin              ,Capital Expenditure,42177,3M UNITED KINGDOM PLC,6612678,Capital,2EJ99,Budgeted Savings,14142.06,
Adult and Culture,Library Admin              ,Capital Expenditure,42179,3M UNITED KINGDOM PLC,6612512,Capital,2EJ99,Budgeted Savings,7071.03,
Adult and Culture,Library Admin              ,Capital Expenditure,42174,3M UNITED KINGDOM PLC,6601194,Capital,2EJ99,Budgeted Savings,7071.03,
