file,dataviz_success,dataviz_header_precision,dataviz_header_recall,dataviz_header_f1,dataviz_record_precision,dataviz_record_recall,dataviz_record_f1,dataviz_cell_precision,dataviz_cell_recall,dataviz_cell_f1
moj-aramis-data-march-11.csv,1,0.7142857142857143,0.7142857142857143,0.7142857142857143,1.0,1.0,1.0,0.001141552511415525,0.002285714285714286,0.0015226494099733537
April-2011-for-publication.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,0.005094614264919942,0.875,0.01013024602026049
tetranatrolite.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,0.7638888888888888,0.7638888888888888,0.763888888888889
PLA_6%Talc-1hz.csv,1,0.0,0.0,0.0,0.9383033419023136,0.9383033419023136,0.9383033419023136,1.0,0.9383033419023136,0.9681697612732095
ResultsOR30x250-0.25_7.dat.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ResultsOR30x100-0.50_5.dat__m23.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Auto_Tone_sub242_nov.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ResultsOR30x100-0.25_10.dat__m21Infos.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
narrow.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ResultsOR30x250-0.75_9.datInfos.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
nati-clin-audi-bowe-canc-2017-tran-main-fiel-list.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,0.5714285714285714,0.12903225806451613,0.2105263157894737
senior-staff-march-2020.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,0.21428571428571427,0.22406639004149378,0.21906693711967543
1% nano+20% micro.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.33323535175387026,0.39992944496707433
