Page Title,Pageid
gemme,112010
joaillerie,3407860
midi_(culmination),999803
automobile,3141765
cimetière,128758
coussin,1247901
garçon,303612
coq,1815754
outil,44867
forêt,50187
côte_(géographie),303352
autographe,1654947
voyage,187627
grimace,2834738
servage,24571
verre,33078
corde_(outil),1157813
colline,461072
sorcier,2012580
four_(métallurgie),5611717
réfugié,77155
fratrie,102355
nourriture,32057
oiseau,9127
grue_(engin),217474
gruidae,111271
rivage,1480220
moine,60321
fruit_(alimentation_humaine),5490
bijou,1173416
oreiller,87931
bois,18591
signature,262350
périple,931652
sourire,156701
esclavage,20758
hôpital_psychiatrique,294906
fruit_(botanique),6138697
divination,5535
poêle_(chauffage),776116
ficelle_(corde),1666184
