Date,Department family,Entity,Expense area,Expense type,Supplier,Transaction number,Amount
05/01/2011,HMRC,HMRC,Criminal Investigations,Forensic Services,CCL Forensics Limited,5100080972,75307.72
06/01/2011,HMRC,HMRC,Estates & Support Services,STEPS FUP VAT recvbl,Mapeley Steps Limited,1700097407,-2610.12
06/01/2011,HMRC,HMRC,Estates & Support Services,STEPS FUP VAT recvbl,Mapeley Steps Limited,1700097407,-93705.32
06/01/2011,HMRC,HMRC,Commercial Directorate,Specialty envelopes,Banner Business Services Ltd,5100080513,81371.1
06/01/2011,HMRC,HMRC,Estates & Support Services,Rent,Mapeley Steps Limited,5100081163,39259.17
06/01/2011,HMRC,HMRC,Estates & Support Services,Rent,Mapeley Steps Limited,5100081166,84830.41
06/01/2011,HMRC,HMRC,Estates & Support Services,OGD costs,HM Land Registry,5100081170,65379.94
06/01/2011,HMRC,HMRC,Estates & Support Services,Rent,Ernst & Young,5100081174,31137.5
06/01/2011,HMRC,HMRC,Estates & Support Services,Landlord Charges,Ernst & Young,5100081174,1560.76
06/01/2011,HMRC,HMRC,Estates & Support Services,Landlord Charges,Mapeley Steps Limited,5100081176,30168.81
06/01/2011,HMRC,HMRC,Estates & Support Services,Rent,Mapeley Steps Limited,5100081176,26664.66
06/01/2011,HMRC,HMRC,Estates & Support Services,Rent,Cording Asset Management LLP,5100081179,78750
06/01/2011,HMRC,HMRC,Debt Management & Banking,Commission Fees,Commercial Collection Services,5100081202,119965.15
06/01/2011,HMRC,HMRC,Commercial Directorate,Postal delivery serv,Royal Mail,5100081285,592225.52
06/01/2011,HMRC,HMRC,Individuals Customer Directorate,Grant in Aid Funding,Citizens Advice Bureau,5100081306,41250
06/01/2011,HMRC,HMRC,Individuals Customer Directorate,Grant in Aid Funding,Tax Volunteers,5100081310,40000
07/01/2011,HMRC,HMRC,Debt Management & Banking,High Court Costs,RBSG Central,1900180461,40000
07/01/2011,HMRC,HMRC,Information Management Solutions,Maintenance fees,Accenture (UK) Limited,5100081506,260584.79
07/01/2011,HMRC,HMRC,Estates & Support Services,Electricity,Mapeley Steps Limited,5100081651,2454669.31
07/01/2011,HMRC,HMRC,Estates & Support Services,Electricity,Mapeley Steps Limited,5100081651,177645.04
07/01/2011,HMRC,HMRC,Estates & Support Services,Water,Mapeley Steps Limited,5100081651,167503.86
07/01/2011,HMRC,HMRC,Estates & Support Services,Oil,Mapeley Steps Limited,5100081651,146509.95
07/01/2011,HMRC,HMRC,Estates & Support Services,Gas,Mapeley Steps Limited,5100081651,128771.32
07/01/2011,HMRC,HMRC,Estates & Support Services,Water,Mapeley Steps Limited,5100081651,44175.16
07/01/2011,HMRC,HMRC,Estates & Support Services,Gas,Mapeley Steps Limited,5100081651,17630.04
07/01/2011,HMRC,HMRC,Estates & Support Services,Electricity,Mapeley Steps Limited,5100081651,12221.47
07/01/2011,HMRC,HMRC,Estates & Support Services,Oil,Mapeley Steps Limited,5100081651,2248.81
07/01/2011,HMRC,HMRC,Estates & Support Services,Gas,Mapeley Steps Limited,5100081651,423.55
07/01/2011,HMRC,HMRC,Estates & Support Services,Oil,Mapeley Steps Limited,5100081651,146.29
07/01/2011,HMRC,HMRC,Estates & Support Services,Oth PFI unitary chrg,Newcastle Estate Partnership,5100081987,3641756.89
10/01/2011,HMRC,HMRC,Individuals Customer Directorate,Grant in Aid Funding,One Parent Families,5100081593,37845
10/01/2011,HMRC,HMRC,Estates & Support Services,Non PFI serv VAT,MacLellan International Limited,5100081618,51044.41
10/01/2011,HMRC,HMRC,Estates & Support Services,Landlord Charges,Mapeley Steps Limited,5100081921,24109.31
10/01/2011,HMRC,HMRC,Estates & Support Services,Rent,Mapeley Steps Limited,5100081921,19707.2
10/01/2011,HMRC,HMRC,Finance & Internal Audit,Business Consultancy,Deloitte M C S Ltd,5100081964,47056.4
10/01/2011,HMRC,HMRC,Commercial Directorate,Postal delivery serv,TNT Post UK Ltd,5100082011,36756.48
10/01/2011,HMRC,HMRC,Commercial Directorate,Postal delivery serv,TNT Post UK Ltd,5100082013,64887.45
10/01/2011,HMRC,HMRC,Estates & Support Services,Rent,Jones Lang Lasalle,5100082077,84000
10/01/2011,HMRC,HMRC,Debt Management & Banking,County Court Proceed,Her Majesty's Court Service,5100082079,59850
10/01/2011,HMRC,HMRC,Information Management Solutions,Hardware maintenance,CapGemini UK Plc - PeoplePoint,5100082437,1045237.9
11/01/2011,HMRC,HMRC,Information Management Solutions,GSI Line Rental,Cable & Wireless,5100082106,140639.72
