# energy (MeV), n (cm2 g-1)
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
1,0
1.1,0
1.2,0
1.3,0
1.4,0
1.5,0
1.6,0
1.7,0
1.8,0
1.9,0
2,0
2.1,0
2.2,0
2.3,0
2.4,0
2.5,0
2.6,0
2.7,0
2.8,0
2.9,0
3,0
3.1,0
3.2,0
3.3,0
3.4,0
3.5,0
3.6,0
3.7,0
3.8,0
3.9,0
4,0
4.1,0
4.2,0
4.3,0
4.4,0
4.5,0
4.6,0
4.7,0
4.8,0
4.9,0
5,0
5.1,0
5.2,0
5.3,0
5.4,0
5.5,0
5.6,0
5.7,0
5.8,0
5.9,0
6,0
6.1,0
6.2,0
6.3,0
6.4,0
6.5,0
6.6,0
6.7,0
6.8,0
6.9,0
7,0
7.1,0
7.2,0
7.3,0
7.4,0
7.5,0
7.6,0
7.7,0
7.8,0
7.9,0
8,0
8.1,0.00000000037141464458
8.2,0.00000000091382246049
8.3,0.0000000012931334791
8.4,0.00000000150934770041
8.5,0.00000000156246512442
8.6,0.00000000359856171458
8.7,0.00000000647137715951
8.8,0.00000001018091145922
8.9,0.00000001472716461371
9,0.00000002011013662297
9.1,0.00000002340110603526
9.2,0.0000000266920780803
9.3,0.0000000299830527581
9.4,0.00000003327403006864
9.5,0.00000003656501001194
9.6,0.00000004680326005824
9.7,0.00000005704151829505
9.8,0.00000006727978472239
9.9,0.00000007751805934024
10,0.00000008775634214861
10.1,0.000000090802201393
10.2,0.00000009384798446329
10.3,0.00000009689369135949
10.4,0.00000009322390934778
10.5,0.0000000895551760237
10.6,0.00000007126075369418
10.7,0.00000005297542870125
10.8,0.00000003469920104491
10.9,0.0000000383350442784
11,0.00000004196773470658
11.1,0.00000007663614864251
11.2,0.00000011130358755823
11.3,0.00000014597005164204
11.4,0.00000015505267299899
11.5,0.00000016413054379666
11.6,0.00000013856590914509
11.7,0.00000011301349255616
11.8,0.00000008747329402986
11.9,0.00000006194531356621
12,0.0000000364295511652
12.1,0.00000003217917310942
12.2,0.00000002792885844142
12.3,0.00000002367860722152
12.4,0.00000003641719697086
12.5,0.00000004914784984432
12.6,0.00000006524268248334
12.7,0.00000008155031172306
12.8,0.00000009807073756349
12.9,0.00000011480396000462
13,0.00000013174997904646
13.1,0.00000014528419099749
13.2,0.00000015936821766961
13.3,0.00000012899650581562
13.4,0.00000009838166476706
13.5,0.00000009724143056845
13.6,0.00000011188837869673
13.7,0.00000012708909015551
13.8,0.00000012335172571695
13.9,0.00000011962619746944
14,0.00000011591250562322
14.1,0.00000011152187161196
14.2,0.00000010690829516803
14.3,0.00000013443340171104
14.4,0.00000016220630415897
14.5,0.00000019022700251183
14.6,0.00000021372532774459
14.7,0.00000023765133235478
14.8,0.00000026200501597496
14.9,0.00000021121019107506
