time[s];posx[m];posy[m];pospathx[m];pospathy[m];vel[km/h];accx[m/ss];yaw[rad];
0.000000;433.868000;-101.435000;434.665000;-103.276000;0.000000;0.000000;-1.162239;
0.100000;433.868000;-101.435000;434.665000;-103.276000;0.000000;0.000000;-1.162239;
0.200000;433.868000;-101.435000;434.665000;-103.276000;0.000000;0.000000;-1.162239;
0.300000;433.868000;-101.435000;434.665000;-103.276000;0.000000;0.000000;-1.162239;
0.400000;433.868000;-101.435000;434.665000;-103.276000;0.000000;0.000000;-1.162239;
0.500000;433.868000;-101.435000;434.665000;-103.276000;0.000000;0.000000;-1.162239;
0.600000;433.868000;-101.435000;434.665000;-103.276000;0.000000;0.000000;-1.162239;
0.700000;433.868000;-101.435000;434.665000;-103.276000;0.000000;0.000000;-1.162239;
0.800000;433.868000;-101.435000;434.665000;-103.276000;0.000000;0.000000;-1.162239;
0.900000;433.868000;-101.435000;434.665000;-103.276000;0.000000;0.000000;-1.162239;
1.000000;433.868000;-101.435000;434.665000;-103.276000;0.000000;0.000000;-1.162239;
1.100000;433.868000;-101.435000;434.665000;-103.276000;0.000000;0.000000;-1.162239;
1.200000;433.868000;-101.435000;434.665000;-103.276000;0.000000;0.000000;-1.162239;
1.300000;433.868000;-101.435000;434.665000;-103.276000;0.000000;0.000000;-1.162239;
1.400000;433.868000;-101.435000;434.665000;-103.276000;0.000000;0.000000;-1.162239;
1.500000;433.868000;-101.435000;434.665000;-103.276000;0.000000;0.000000;-1.162239;
1.600000;433.868000;-101.435000;434.665000;-103.276000;0.000000;0.000000;-1.162239;
1.700000;433.868000;-101.435000;434.665000;-103.276000;0.000000;0.000000;-1.162239;
1.800000;433.868000;-101.435000;434.665000;-103.276000;0.000000;0.000000;-1.162239;
1.900000;433.868000;-101.435000;434.665000;-103.276000;0.000000;0.000000;-1.162239;
2.000000;433.868000;-101.435000;434.665000;-103.276000;0.000000;0.000000;-1.162239;
2.100000;433.868000;-101.435000;434.665000;-103.276000;0.000000;0.000000;-1.162239;
2.200000;433.868000;-101.435000;434.665000;-103.276000;0.000000;0.000000;-1.162239;
2.300000;433.868000;-101.435000;434.665000;-103.276000;0.000000;0.000000;-1.162239;
2.400000;433.868000;-101.435000;434.665000;-103.276000;0.000000;0.000000;-1.162239;
2.500000;433.868000;-101.435000;434.665000;-103.276000;0.000000;0.000000;-1.162239;
2.600000;433.868000;-101.435000;434.665000;-103.276000;0.000000;0.000000;-1.162239;
2.700000;433.868000;-101.435000;434.665000;-103.276000;0.000000;0.000000;-1.162248;
2.800000;433.868000;-101.435000;434.665000;-103.276000;0.000000;0.000000;-1.162248;
2.900000;433.868000;-101.435000;434.665000;-103.276000;0.000000;0.000000;-1.162244;
3.000000;433.868000;-101.435000;434.665000;-103.276000;0.000000;0.000000;-1.162240;
3.100000;433.868000;-101.435000;434.665000;-103.276000;0.000000;0.000000;-1.162240;
3.200000;433.868000;-101.435000;434.665000;-103.276000;0.000000;0.000000;-1.162228;
3.300000;433.868000;-101.435000;434.665000;-103.276000;0.000000;0.000000;-1.162216;
3.400000;433.868000;-101.435000;434.665000;-103.276000;0.000000;0.000000;-1.162195;
3.500000;433.868000;-101.435000;434.665000;-103.276000;0.000000;0.000000;-1.162166;
3.600000;433.868000;-101.435000;434.665000;-103.276000;0.000000;0.000000;-1.162134;
3.700000;433.868000;-101.435000;434.665000;-103.276000;0.000000;0.000000;-1.162092;
3.800000;433.868000;-101.435000;434.665000;-103.276000;0.000000;0.000000;-1.162034;
3.900000;433.868000;-101.435000;434.665000;-103.276000;0.000000;0.000000;-1.161964;
4.000000;433.868500;-101.436000;434.665000;-103.277000;0.040000;0.110000;-1.161885;
4.100000;433.870000;-101.438000;434.667000;-103.279000;0.150000;0.310000;-1.161794;
4.200000;433.872000;-101.444500;434.669000;-103.285000;0.340000;0.510000;-1.161691;
4.300000;433.878000;-101.456500;434.675000;-103.297000;0.600000;0.710000;-1.161571;
4.400000;433.886000;-101.476000;434.683000;-103.317000;0.920000;0.910000;-1.161447;
4.500000;433.898500;-101.504500;434.696000;-103.345000;1.330000;1.110000;-1.161303;
4.600000;433.916500;-101.544500;434.714000;-103.385000;1.800000;1.310000;-1.161142;
4.700000;433.939000;-101.597500;434.737000;-103.438000;2.340000;1.510000;-1.160981;
4.800000;433.968500;-101.664500;434.767000;-103.505000;2.920000;1.610000;-1.160799;
4.900000;434.004500;-101.747000;434.803000;-103.587000;3.550000;1.760000;-1.160617;
5.000000;434.048000;-101.846000;434.847000;-103.686000;4.210000;1.820000;-1.160423;
5.100000;434.099000;-101.962000;434.899000;-103.802000;4.880000;1.880000;-1.160221;
5.200000;434.157500;-102.095500;434.958000;-103.935000;5.580000;1.940000;-1.160006;
5.300000;434.224000;-102.247500;435.025000;-104.087000;6.300000;2.000000;-1.159787;
5.400000;434.298500;-102.418000;435.100000;-104.257000;7.050000;2.070000;-1.159555;
5.500000;434.382000;-102.607500;435.184000;-104.446000;7.820000;2.140000;-1.159324;
5.600000;434.474000;-102.817500;435.277000;-104.656000;8.610000;2.200000;-1.159096;
5.700000;434.575000;-103.047000;435.378000;-104.885000;9.410000;2.220000;-1.158860;
5.800000;434.685000;-103.297500;435.489000;-105.135000;10.210000;2.220000;-1.158620;
5.900000;434.804000;-103.568500;435.609000;-105.406000;11.010000;2.220000;-1.158388;
6.000000;434.932000;-103.859500;435.737000;-105.697000;11.800000;2.210000;-1.158148;
6.100000;435.069000;-104.171000;435.875000;-106.008000;12.600000;2.200000;-1.157917;
6.200000;435.215000;-104.502000;436.021000;-106.339000;13.390000;2.200000;-1.157693;
6.300000;435.369500;-104.853500;436.176000;-106.690000;14.170000;2.190000;-1.157470;
6.400000;435.533000;-105.225500;436.340000;-107.062000;14.960000;2.180000;-1.157942;
6.500000;435.705500;-105.617000;436.513000;-107.453000;15.740000;2.170000;-1.159524;
6.600000;435.887000;-106.028500;436.695000;-107.865000;16.520000;2.160000;-1.161969;
6.700000;436.077000;-106.460000;436.885000;-108.296000;17.300000;2.160000;-1.163604;
6.800000;436.276500;-106.911000;437.085000;-108.747000;18.070000;2.150000;-1.164473;
6.900000;436.483500;-107.382000;437.292000;-109.218000;18.840000;2.140000;-1.164726;
7.000000;436.700000;-107.872000;437.509000;-109.708000;19.610000;2.130000;-1.164482;
7.100000;436.925000;-108.382000;437.734000;-110.218000;20.370000;2.120000;-1.163222;
7.200000;437.158000;-108.911500;437.967000;-110.747000;21.130000;2.110000;-1.159033;
7.300000;437.400500;-109.460500;438.210000;-111.296000;21.890000;2.090000;-1.152530;
7.400000;437.650500;-110.027500;438.460000;-111.863000;22.630000;2.070000;-1.144178;
7.500000;437.909500;-110.614500;438.719000;-112.450000;23.370000;2.060000;-1.134367;
7.600000;438.176500;-111.220000;438.986000;-113.055000;24.100000;2.040000;-1.121604;
7.700000;438.426500;-111.877000;439.202000;-113.727000;24.830000;2.020000;-1.106607;
7.800000;438.657500;-112.583000;439.378000;-114.455000;25.550000;2.000000;-1.089925;
7.900000;438.887500;-113.313500;439.565000;-115.202000;26.270000;1.980000;-1.071976;
8.000000;439.090000;-113.762000;439.809000;-115.635000;26.970000;1.960000;-1.052417;
8.100000;439.363000;-114.359000;440.121000;-116.216000;27.670000;1.950000;-1.031603;
8.200000;439.648500;-114.970000;440.438000;-116.814000;28.370000;1.930000;-1.009890;
8.300000;439.946000;-115.594000;440.761000;-117.427000;29.060000;1.910000;-0.987514;
8.400000;440.279000;-116.208500;441.144000;-118.018000;29.740000;1.890000;-0.965026;
8.500000;440.717500;-116.759500;441.724000;-118.495000;30.410000;1.880000;-0.942480;
8.600000;441.187500;-117.317500;442.301000;-118.986000;31.080000;1.860000;-0.919896;
8.700000;441.685500;-117.881000;442.881000;-119.492000;31.750000;1.850000;-0.897689;
8.800000;442.209500;-118.448500;443.468000;-120.010000;32.410000;1.840000;-0.877050;
8.900000;442.853500;-118.979000;444.233000;-120.436000;33.070000;1.820000;-0.857498;
9.000000;443.533000;-119.507500;444.998000;-120.878000;33.720000;1.810000;-0.838684;
9.100000;444.242000;-120.034000;445.768000;-121.336000;34.370000;1.800000;-0.820969;
9.200000;444.976000;-120.560500;446.546000;-121.809000;35.010000;1.780000;-0.803450;
9.300000;445.787000;-121.080000;447.410000;-122.259000;35.650000;1.770000;-0.785963;
9.400000;446.630000;-121.597000;448.292000;-122.720000;36.280000;1.760000;-0.769895;
9.500000;447.495000;-122.113000;449.184000;-123.195000;36.910000;1.750000;-0.755009;
9.600000;448.380000;-122.630500;450.088000;-123.682000;37.530000;1.730000;-0.741027;
9.700000;449.311500;-123.195000;451.023000;-124.241000;38.150000;1.720000;-0.727747;
9.800000;450.261500;-123.771500;451.975000;-124.815000;38.760000;1.710000;-0.715604;
9.900000;451.226500;-124.355500;452.941000;-125.397000;39.380000;1.700000;-0.706502;
10.000000;452.195000;-124.972500;453.899000;-126.031000;39.980000;1.680000;-0.699784;
