"time[s]","posx[m]","posy[m]","pospathx[m]","pospathy[m]","vel[km/h]","accx[m/ss]","yaw[rad]"
0,433.868,-101.435,434.665,-103.276,0,0,-1.162239
0.1,433.868,-101.435,434.665,-103.276,0,0,-1.162239
0.2,433.868,-101.435,434.665,-103.276,0,0,-1.162239
0.3,433.868,-101.435,434.665,-103.276,0,0,-1.162239
0.4,433.868,-101.435,434.665,-103.276,0,0,-1.162239
0.5,433.868,-101.435,434.665,-103.276,0,0,-1.162239
0.6,433.868,-101.435,434.665,-103.276,0,0,-1.162239
0.7,433.868,-101.435,434.665,-103.276,0,0,-1.162239
0.8,433.868,-101.435,434.665,-103.276,0,0,-1.162239
0.9,433.868,-101.435,434.665,-103.276,0,0,-1.162239
1,433.868,-101.435,434.665,-103.276,0,0,-1.162239
1.1,433.868,-101.435,434.665,-103.276,0,0,-1.162239
1.2,433.868,-101.435,434.665,-103.276,0,0,-1.162239
1.3,433.868,-101.435,434.665,-103.276,0,0,-1.162239
1.4,433.868,-101.435,434.665,-103.276,0,0,-1.162239
1.5,433.868,-101.435,434.665,-103.276,0,0,-1.162239
1.6,433.868,-101.435,434.665,-103.276,0,0,-1.162239
1.7,433.868,-101.435,434.665,-103.276,0,0,-1.162239
1.8,433.868,-101.435,434.665,-103.276,0,0,-1.162239
1.9,433.868,-101.435,434.665,-103.276,0,0,-1.162239
2,433.868,-101.435,434.665,-103.276,0,0,-1.162239
2.1,433.868,-101.435,434.665,-103.276,0,0,-1.162239
2.2,433.868,-101.435,434.665,-103.276,0,0,-1.162239
2.3,433.868,-101.435,434.665,-103.276,0,0,-1.162239
2.4,433.868,-101.435,434.665,-103.276,0,0,-1.162239
2.5,433.868,-101.435,434.665,-103.276,0,0,-1.162239
2.6,433.868,-101.435,434.665,-103.276,0,0,-1.162239
2.7,433.868,-101.435,434.665,-103.276,0,0,-1.162248
2.8,433.868,-101.435,434.665,-103.276,0,0,-1.162248
2.9,433.868,-101.435,434.665,-103.276,0,0,-1.162244
3,433.868,-101.435,434.665,-103.276,0,0,-1.16224
3.1,433.868,-101.435,434.665,-103.276,0,0,-1.16224
3.2,433.868,-101.435,434.665,-103.276,0,0,-1.162228
