# energy (MeV), n (cm2 g-1)
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
1,0
1.1,0
1.2,0
1.3,0
1.4,0
1.5,0
1.6,0
1.7,0
1.8,0
1.9,0
2,0
2.1,0
2.2,0
2.3,0
2.4,0
2.5,0
2.6,0
2.7,0
2.8,0
2.9,0
3,0
3.1,0
3.2,0
3.3,0
3.4,0
3.5,0
3.6,0
3.7,0
3.8,0
3.9,0
4,0
4.1,0
4.2,0
4.3,0
4.4,0
4.5,0
4.6,0
4.7,0
4.8,0
4.9,0
5,0
5.1,0
5.2,0
5.3,0
5.4,0
5.5,0
5.6,0
5.7,0
5.8,0
5.9,0
6,0
6.1,0
6.2,0
6.3,0
6.4,0
6.5,0
6.6,0
6.7,0
6.8,0
6.9,0
7,0
7.1,0
7.2,0
7.3,0
7.4,0
7.5,0
7.6,0
7.7,0
7.8,0
7.9,0
8,0
8.1,3.71E-10
8.2,9.14E-10
8.3,1.29E-09
8.4,1.51E-09
8.5,1.56E-09
8.6,3.60E-09
8.7,6.47E-09
8.8,1.02E-08
8.9,1.47E-08
9,2.01E-08
9.1,2.34E-08
9.2,2.67E-08
9.3,3.00E-08
9.4,3.33E-08
9.5,3.66E-08
9.6,4.68E-08
9.7,5.70E-08
9.8,6.73E-08
9.9,7.75E-08
10,8.78E-08
10.1,9.08E-08
10.2,9.38E-08
10.3,9.69E-08
10.4,9.32E-08
10.5,8.96E-08
10.6,7.13E-08
10.7,5.30E-08
10.8,3.47E-08
10.9,3.83E-08
11,4.20E-08
11.1,7.66E-08
11.2,1.11E-07
11.3,1.46E-07
11.4,1.55E-07
11.5,1.64E-07
11.6,1.39E-07
11.7,1.13E-07
11.8,8.75E-08
11.9,6.19E-08
12,3.64E-08
12.1,3.22E-08
12.2,2.79E-08
12.3,2.37E-08
12.4,3.64E-08
12.5,4.91E-08
12.6,6.52E-08
12.7,8.16E-08
12.8,9.81E-08
12.9,1.15E-07
13,1.32E-07
13.1,1.45E-07
13.2,1.59E-07
13.3,1.29E-07
13.4,9.84E-08
13.5,9.72E-08
13.6,1.12E-07
13.7,1.27E-07
13.8,1.23E-07
13.9,1.20E-07
14,1.16E-07
14.1,1.12E-07
14.2,1.07E-07
14.3,1.34E-07
14.4,1.62E-07
14.5,1.90E-07
14.6,2.14E-07
14.7,2.38E-07
14.8,2.62E-07
14.9,2.11E-07
15,1.60E-07
15.1,1.41E-07
15.2,1.21E-07
15.3,1.12E-07
15.4,1.03E-07
15.5,1.05E-07
15.6,1.08E-07
15.7,1.09E-07
15.8,1.09E-07
15.9,1.09E-07
16,1.10E-07
16.1,1.10E-07
16.2,1.11E-07
16.3,1.11E-07
16.4,1.12E-07
16.5,1.12E-07
16.6,1.12E-07
16.7,1.12E-07
16.8,1.12E-07
