x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Objective Value,Valid?,ReturnCode,CompTime,
Org,1,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1,0,0.975961962,0.968747486,0.979312333,0.991810807,0.995891832,0.988052439,0.975752007,0.996650523,0.999031871,0.983547463,0.99362626,0.963946949,0.99983316,0.996366572,0.987564465,0.985247586,0.995426279,0.968362548,0.990540095,0.997735907,0.979932798,41528,TRUE,OPTIMAL,6.391458988
Org_kmax_kmin,1,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1,0,0.975961962,0.968747486,0.979312333,0.991810807,0.995891832,0.988052439,0.975752007,0.996650523,0.999031871,0.983547463,0.99362626,0.963946949,0.99983316,0.996366572,0.987564465,0.985247586,0.995426279,0.968362548,0.990540095,0.997735907,0.979932798,41528,TRUE,OPTIMAL,16.37294817
Dim.  1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,1.019855596,0.995776687,1.003964535,0.988519822,1.032705807,1.017467407,0.902968082,1.033132666,0.940827944,0.96852759,1.10954866,1.055233778,0.958206465,1.050020186,0.944767925,0.9851654,0.994944835,0.983909208,1.052432809,1.039525692,0.920057868,42666,FALSE,OPTIMAL,0.011360884
Dim.  2,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,1,0,1,0,1,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,1.032314872,1.007079077,0.967274562,1.016416654,1.041799617,1.008751861,0.968881077,1.029104241,0.970181621,0.948932434,1.065450345,1.042096869,0.964796663,1.050222043,0.936948927,0.922005342,1.019618857,0.959928485,1.071609284,1.040139683,0.899057308,42562,FALSE,OPTIMAL,0.004230022
Dim.  3,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,1,0,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0,1.026943735,0.999316226,0.968463923,1.002946579,1.009293235,0.973453898,0.984939879,0.994161046,0.941331371,0.964460671,1.084770745,1.02807857,0.983441084,1.062414211,0.93129263,0.924676392,0.996509529,0.991021804,1.095919041,1.021489696,0.977179391,42479,FALSE,OPTIMAL,0.012295008
Dim.  4,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0,0.972307828,1.024977878,1.018344987,0.952204194,1.005902999,0.977775357,0.939040467,1.027022134,0.950005809,1.015435807,1.058359559,1.068580542,0.918456726,1.045619701,0.918690734,0.970947195,1.036148445,1.005013798,0.999963334,1.032272919,0.999346649,42351,FALSE,OPTIMAL,0.136132002
Dim.  5,1,1,0,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,1,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0,1.05542837,1.046778216,1.002090391,1.04033369,0.948627951,0.970911864,0.961171254,0.967772598,0.917283042,1.039698678,1.082858622,1.043272056,0.988196038,0.99374243,0.898644152,0.921964249,1.062547643,0.962688017,0.999376673,1.043708508,0.998599963,42333,FALSE,OPTIMAL,0.235594034
Dim.  6,1,1,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,0,1.056881219,1.024012549,0.967779139,1.072095515,0.988194001,0.949014054,0.983981145,0.943918888,0.977810479,0.973472595,1.007688324,1.004155125,0.986277372,1.0484457,0.999792048,0.923566879,1.049869609,1.006762797,0.999156675,1.006331786,0.99463319,42295,FALSE,OPTIMAL,0.162653923
Dim.  7,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,1,1,0,1,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0,1.084133134,1.000965329,0.996576083,0.988940762,1.014478302,0.981987871,0.941956617,1.011451591,0.905936568,0.915287919,1.04047325,1.004155125,0.990698644,1.025393621,0.994510065,0.987918636,1.048304915,0.985347274,0.996516701,0.989715645,0.98861303,42234,FALSE,OPTIMAL,0.177092075
Dim.  8,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0,1.005679317,1.000804441,0.996684207,0.990471453,0.939653797,0.993753858,0.949426757,1.003440004,0.975448244,0.964784176,0.989602836,1.06627214,0.987236705,1.083286233,0.998877059,0.998643928,1.000682046,0.983753741,0.998276684,0.97985341,0.975452679,42103,FALSE,OPTIMAL,0.607478857
