x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Load,Objective Value,Valid?,ReturnCode,CompTime,
Org,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0.9094940867,0.943123233,0.9791685955,0.9615128906,0.989170263,0.87453583,0.9698541909,0.9888833992,0.968968969,0.9766822119,0.9893467669,0.9050628093,0.9992161781,0.9886681272,0.9667182093,0.9464978235,0.9776604974,0.9892761394,0.9269606711,0.9693670886,0.9661563255,0.9006646702,0.9864500857,0.917752443,0.9425518239,0.9281089717,0.9819463815,0.9905092019,21905,TRUE,TIME_LIMIT,60.00695205
Org_kmax_kmin,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0.9094940867,0.943123233,0.9791685955,0.9615128906,0.989170263,0.87453583,0.9698541909,0.9888833992,0.968968969,0.9766822119,0.9893467669,0.9050628093,0.9992161781,0.9886681272,0.9667182093,0.9464978235,0.9776604974,0.9892761394,0.9269606711,0.9693670886,0.9661563255,0.9006646702,0.9864500857,0.917752443,0.9425518239,0.9281089717,0.9819463815,0.9905092019,21905,TRUE,TIME_LIMIT,60.0041523
Dim.  1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1.026116951,1.205138866,1.002407185,0.9154170052,0.9533425617,0.7519159358,0.9850612756,0.8661890646,1.055146055,1.08179732,1.113882236,1.086714884,1.259209908,1.090201707,1.076062146,1.132568263,1.09962406,1.073305247,0.8792426691,0.9737552743,0.8670427075,0.7191585713,1.089870215,0.8574918567,0.9380523863,0.8436054822,0.9286378429,1.109102913,23632,FALSE,OPTIMAL,0.0349252224
Dim.  2,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0.9806176084,1.088059205,0.9960188871,0.9493979464,1.009038352,0.8503594849,0.9109043743,0.9693675889,1.053235053,1.039825302,1.161780494,0.9560715645,1.178319486,1.081816121,1.036300714,1.012979818,1.091526894,1.026350057,0.8551527746,0.9310548523,0.858178888,0.8130158498,1.041302751,0.8890698516,0.966896995,0.8906920037,1.027041686,1.132623587,23406,FALSE,OPTIMAL,0.1591088772
Dim.  3,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0.9157358739,0.982704141,0.8692713638,1.050675925,1.019949516,0.910484317,1.003846498,0.9367588933,1.058513059,1.071581908,1.152861508,1.029691663,0.9934942781,1.036564176,0.9972756056,1.089671547,1.055234239,1.068402911,0.9559762949,1.027257384,0.8817082998,0.8688919728,1.022855277,0.88165038,0.9758958702,0.9313882116,0.9626530296,1.099529587,23246,FALSE,OPTIMAL,0.5251431465
Dim.  4,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1.100936268,1.093630467,0.9179705583,0.9989657974,1.008468366,0.8744568223,1.015833259,0.8815052701,1.052416052,1.036494189,0.9995045008,1.010125619,0.996707948,1.157664123,1.074147706,1.176968738,0.97686524,1.164304864,0.954206111,0.9124894515,0.8074939565,0.8182747791,1.047506326,0.9725841477,0.9366864856,0.8028251913,0.8909809391,1.127341751,23188,FALSE,OPTIMAL,0.9319620132
Dim.  5,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1.07999343,1.02835523,0.930376817,1.035827731,0.9764677144,0.8987121751,1.026657125,0.9251482213,0.94003094,1.062846991,0.9960360063,0.9979444233,0.996316037,1.187504722,1.010750313,1.081677879,1.0279786,1.051857526,0.9652890018,0.9466666667,0.8392425463,0.8366810313,1.065219166,0.8453673543,0.9602281858,0.9249138148,0.9494808616,1.155731617,23123,FALSE,OPTIMAL,0.398845911
Dim.  6,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1.001149803,1.001164144,0.977039163,1.041811332,1.007816953,0.8303705459,1.006977368,1.013833992,1.060697061,0.972092679,0.9924849286,1.054282451,0.9960025082,0.9969026214,0.9804874457,1.091650178,1.035280509,1.049712754,0.9144154545,1.023628692,0.975906527,0.858008911,1.058036079,0.9071661238,0.961192351,0.9131421845,0.9590887959,1.050507551,23011,FALSE,OPTIMAL,0.7459959984
Dim.  7,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1.000246386,1.001663063,0.9288954726,0.960478688,0.9213419103,0.9630244134,0.9270954468,0.9678853755,1.113932114,0.995706566,0.9935585102,0.9971069661,0.9970998589,0.9992445418,1.008762241,1.069489513,1.099696356,1.118422061,0.8670053106,0.868185654,0.9720386785,0.8842305164,0.9820422823,1.093376764,0.98947453,0.983015219,0.9958933829,1.106627053,22968,FALSE,OPTIMAL,1.602049112
Dim.  8,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0.9287943495,0.9861965741,0.9547264142,1.097879885,1.088999267,0.9893339654,0.9666338671,0.8782938076,1.007917008,0.953290399,0.9962011727,0.9662733156,0.9894967863,0.9985646294,0.9586186584,1.083023348,1.078368999,1.108770586,0.9829138767,1.016033755,0.9260273973,0.8315681835,0.9489837564,0.8920557365,0.9604692271,0.8923736652,0.9956609329,1.167780804,22938,FALSE,OPTIMAL,1.371235847
