time[s];posx[m];posy[m];pospathx[m];pospathy[m];vel[km/h];accx[m/ss];yaw[rad];
0.000000;413.376500;-18.208000;413.771000;-20.175000;48.190000;0.200000;-1.359054;
0.100000;413.639000;-19.521500;414.033000;-21.488000;48.260000;0.200000;-1.361912;
0.200000;413.902500;-20.837000;414.296000;-22.804000;48.330000;0.200000;-1.364759;
0.300000;414.165500;-22.154000;414.559000;-24.121000;48.400000;0.200000;-1.367588;
0.400000;414.429000;-23.474000;414.822000;-25.441000;48.470000;0.200000;-1.369680;
0.500000;414.693000;-24.795000;415.086000;-26.762000;48.540000;0.200000;-1.371042;
0.600000;414.957500;-26.118000;415.351000;-28.085000;48.610000;0.200000;-1.371938;
0.700000;415.222000;-27.442500;415.615000;-29.410000;48.610000;-0.000000;-1.372534;
0.800000;415.486000;-28.765500;415.879000;-30.733000;48.540000;-0.200000;-1.372919;
0.900000;415.750000;-30.086000;416.143000;-32.053000;48.390000;-0.400000;-1.373164;
1.000000;416.013000;-31.401000;416.406000;-33.368000;48.180000;-0.600000;-1.373323;
1.100000;416.274000;-32.709500;416.667000;-34.677000;47.890000;-0.800000;-1.373437;
1.200000;416.534000;-34.009500;416.927000;-35.977000;47.550000;-0.930000;-1.373504;
1.300000;416.792000;-35.300000;417.185000;-37.267000;47.200000;-0.980000;-1.373542;
1.400000;417.048000;-36.581000;417.441000;-38.548000;46.830000;-1.020000;-1.373571;
1.500000;417.301500;-37.851000;417.694000;-39.818000;46.450000;-1.070000;-1.373591;
1.600000;417.553000;-39.111000;417.946000;-41.078000;46.050000;-1.100000;-1.373602;
1.700000;417.803000;-40.360000;418.196000;-42.327000;45.640000;-1.140000;-1.373611;
1.800000;418.050000;-41.597000;418.443000;-43.564000;45.210000;-1.180000;-1.373611;
1.900000;418.295000;-42.823000;418.688000;-44.790000;44.780000;-1.210000;-1.373611;
2.000000;418.537000;-44.036500;418.930000;-46.004000;44.330000;-1.250000;-1.373620;
2.100000;418.777000;-45.238000;419.170000;-47.205000;43.870000;-1.280000;-1.373627;
2.200000;419.014000;-46.426000;419.407000;-48.393000;43.360000;-1.400000;-1.373625;
2.300000;419.249000;-47.600000;419.642000;-49.567000;42.830000;-1.480000;-1.373625;
