Created as New Dataset,Sample 022 By Administrator Date Saturday, February 11 2017
cm-1,%T
4000.00,98.78
3999.00,98.79
3998.00,98.78
3997.00,98.78
3996.00,98.78
3995.00,98.77
3994.00,98.77
3993.00,98.77
3992.00,98.76
3991.00,98.76
3990.00,98.76
3989.00,98.77
3988.00,98.77
3987.00,98.77
3986.00,98.77
3985.00,98.77
3984.00,98.76
3983.00,98.76
3982.00,98.76
3981.00,98.76
3980.00,98.77
3979.00,98.77
3978.00,98.77
3977.00,98.77
3976.00,98.77
3975.00,98.76
3974.00,98.76
3973.00,98.75
3972.00,98.75
3971.00,98.75
3970.00,98.76
3969.00,98.76
3968.00,98.76
3967.00,98.76
3966.00,98.75
3965.00,98.75
3964.00,98.75
3963.00,98.75
3962.00,98.75
3961.00,98.76
3960.00,98.76
3959.00,98.76
3958.00,98.76
3957.00,98.76
3956.00,98.76
3955.00,98.76
3954.00,98.75
3953.00,98.75
3952.00,98.74
3951.00,98.74
3950.00,98.74
3949.00,98.74
3948.00,98.75
3947.00,98.75
3946.00,98.73
3945.00,98.72
3944.00,98.70
3943.00,98.70
3942.00,98.71
3941.00,98.72
3940.00,98.73
3939.00,98.74
3938.00,98.75
3937.00,98.75
3936.00,98.75
3935.00,98.75
3934.00,98.74
3933.00,98.74
3932.00,98.74
3931.00,98.73
3930.00,98.72
3929.00,98.71
3928.00,98.70
3927.00,98.69
3926.00,98.70
3925.00,98.71
3924.00,98.72
3923.00,98.73
3922.00,98.73
3921.00,98.74
3920.00,98.76
3919.00,98.78
3918.00,98.77
3917.00,98.76
3916.00,98.74
3915.00,98.74
3914.00,98.74
3913.00,98.74
3912.00,98.75
3911.00,98.76
3910.00,98.76
3909.00,98.75
3908.00,98.74
3907.00,98.75
3906.00,98.78
3905.00,98.82
3904.00,98.85
3903.00,98.84
3902.00,98.81
3901.00,98.78
3900.00,98.76
3899.00,98.75
3898.00,98.74
3897.00,98.74
3896.00,98.74
3895.00,98.75
3894.00,98.77
3893.00,98.78
3892.00,98.79
3891.00,98.79
3890.00,98.79
3889.00,98.78
3888.00,98.75
3887.00,98.74
3886.00,98.76
3885.00,98.77
3884.00,98.74
3883.00,98.70
3882.00,98.66
3881.00,98.67
3880.00,98.71
3879.00,98.74
3878.00,98.74
3877.00,98.71
3876.00,98.69
3875.00,98.69
3874.00,98.71
3873.00,98.71
3872.00,98.70
3871.00,98.69
3870.00,98.72
3869.00,98.75
3868.00,98.76
3867.00,98.75
3866.00,98.76
3865.00,98.78
3864.00,98.79
3863.00,98.78
3862.00,98.77
3861.00,98.77
3860.00,98.78
3859.00,98.79
3858.00,98.80
3857.00,98.81
3856.00,98.82
3855.00,98.83
3854.00,98.83
3853.00,98.81
3852.00,98.78
3851.00,98.75
3850.00,98.74
3849.00,98.75
3848.00,98.76
3847.00,98.77
3846.00,98.77
3845.00,98.76
3844.00,98.75
3843.00,98.74
3842.00,98.73
3841.00,98.72
3840.00,98.73
3839.00,98.74
3838.00,98.75
3837.00,98.76
3836.00,98.77
3835.00,98.77
3834.00,98.76
3833.00,98.76
3832.00,98.77
3831.00,98.77
3830.00,98.76
3829.00,98.75
3828.00,98.74
3827.00,98.75
3826.00,98.77
3825.00,98.77
3824.00,98.75
3823.00,98.72
3822.00,98.73
3821.00,98.75
3820.00,98.75
3819.00,98.72
3818.00,98.67
3817.00,98.66
3816.00,98.69
3815.00,98.74
3814.00,98.76
3813.00,98.75
3812.00,98.76
3811.00,98.77
3810.00,98.77
3809.00,98.77
3808.00,98.77
3807.00,98.79
3806.00,98.79
3805.00,98.76
3804.00,98.70
3803.00,98.67
3802.00,98.69
3801.00,98.71
3800.00,98.71
3799.00,98.70
3798.00,98.69
3797.00,98.70
3796.00,98.72
3795.00,98.74
3794.00,98.74
3793.00,98.74
3792.00,98.74
3791.00,98.74
3790.00,98.74
3789.00,98.73
3788.00,98.73
3787.00,98.73
3786.00,98.72
3785.00,98.72
3784.00,98.72
3783.00,98.70
3782.00,98.68
3781.00,98.67
3780.00,98.68
3779.00,98.71
3778.00,98.72
3777.00,98.73
3776.00,98.73
3775.00,98.74
3774.00,98.75
3773.00,98.75
3772.00,98.74
3771.00,98.74
3770.00,98.75
3769.00,98.75
3768.00,98.74
3767.00,98.73
3766.00,98.73
3765.00,98.74
3764.00,98.73
3763.00,98.72
3762.00,98.70
3761.00,98.70
3760.00,98.72
3759.00,98.72
3758.00,98.71
3757.00,98.70
3756.00,98.69
3755.00,98.68
3754.00,98.69
3753.00,98.75
3752.00,98.86
3751.00,98.92
3750.00,98.93
3749.00,98.93
3748.00,98.92
3747.00,98.89
3746.00,98.83
3745.00,98.81
3744.00,98.81
3743.00,98.80
3742.00,98.77
3741.00,98.75
3740.00,98.75
3739.00,98.76
3738.00,98.76
3737.00,98.75
3736.00,98.74
3735.00,98.73
3734.00,98.72
3733.00,98.74
3732.00,98.76
3731.00,98.77
3730.00,98.77
3729.00,98.75
3728.00,98.74
3727.00,98.74
3726.00,98.72
3725.00,98.69
3724.00,98.65
3723.00,98.64
3722.00,98.65
3721.00,98.67
3720.00,98.69
3719.00,98.71
3718.00,98.73
3717.00,98.73
3716.00,98.73
3715.00,98.71
3714.00,98.70
3713.00,98.72
3712.00,98.75
3711.00,98.73
3710.00,98.70
3709.00,98.69
3708.00,98.70
3707.00,98.70
3706.00,98.71
3705.00,98.70
3704.00,98.67
3703.00,98.65
3702.00,98.64
3701.00,98.65
3700.00,98.66
3699.00,98.67
3698.00,98.67
3697.00,98.68
3696.00,98.68
3695.00,98.68
3694.00,98.66
3693.00,98.64
3692.00,98.64
3691.00,98.64
3690.00,98.62
3689.00,98.60
3688.00,98.60
3687.00,98.62
3686.00,98.63
3685.00,98.63
3684.00,98.62
3683.00,98.61
3682.00,98.60
3681.00,98.58
3680.00,98.56
3679.00,98.53
3678.00,98.48
3677.00,98.44
3676.00,98.43
3675.00,98.47
3674.00,98.51
3673.00,98.52
3672.00,98.51
3671.00,98.51
3670.00,98.51
3669.00,98.50
3668.00,98.50
3667.00,98.50
3666.00,98.50
3665.00,98.50
3664.00,98.51
3663.00,98.51
3662.00,98.51
3661.00,98.51
3660.00,98.50
3659.00,98.49
3658.00,98.48
3657.00,98.48
3656.00,98.47
3655.00,98.45
3654.00,98.40
3653.00,98.33
3652.00,98.30
3651.00,98.34
3650.00,98.37
3649.00,98.30
3648.00,98.22
3647.00,98.20
3646.00,98.23
3645.00,98.26
3644.00,98.28
3643.00,98.28
3642.00,98.28
